# Нови-Сад / Температура / 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней / Яндекс.Погода
# n=1134, MAE=1.823, RMSE=2.273, bias=-1.019
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (2.273/3.392)^2 = 0.5509  (RMSE_персистентности по 1134 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
# «Общий» = объединённый пул пар из периодов: 0-6ч, 6-24ч, 1-2 дня, 2-3 дня, 3-5 дней, 5-10 дней - метрика посчитана заново по всему пулу, а не усреднена по периодам
#
bucket,fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
6-24ч,2026-08-13T16:36:10Z,2026-08-14T01:00:00Z,8.4,19.0,20.4,22.0,-1.4,1.4
6-24ч,2026-08-13T16:36:10Z,2026-08-14T07:00:00Z,14.4,21.0,25.4,22.6,-4.4,4.4
6-24ч,2026-08-13T16:36:10Z,2026-08-14T13:00:00Z,20.4,31.0,32.0,31.0,-1.0,1.0
6-24ч,2026-08-13T16:42:24Z,2026-08-14T01:00:00Z,8.3,19.0,20.4,22.0,-1.4,1.4
6-24ч,2026-08-13T16:42:24Z,2026-08-14T07:00:00Z,14.3,21.0,25.4,22.6,-4.4,4.4
6-24ч,2026-08-13T16:42:24Z,2026-08-14T13:00:00Z,20.3,31.0,32.0,31.0,-1.0,1.0
6-24ч,2026-08-13T16:54:22Z,2026-08-14T01:00:00Z,8.1,19.0,20.4,22.0,-1.4,1.4
6-24ч,2026-08-13T16:54:22Z,2026-08-14T07:00:00Z,14.1,21.0,25.4,22.6,-4.4,4.4
6-24ч,2026-08-13T16:54:22Z,2026-08-14T13:00:00Z,20.1,31.0,32.0,31.0,-1.0,1.0
6-24ч,2026-08-13T22:52:17Z,2026-08-14T07:00:00Z,8.1,21.0,25.4,22.6,-4.4,4.4
6-24ч,2026-08-13T22:52:17Z,2026-08-14T13:00:00Z,14.1,31.0,32.0,31.0,-1.0,1.0
6-24ч,2026-08-13T22:52:17Z,2026-08-14T19:00:00Z,20.1,27.0,27.2,26.5,-0.2,0.2
6-24ч,2026-08-14T05:28:14Z,2026-08-14T13:00:00Z,7.5,31.0,32.0,31.0,-1.0,1.0
6-24ч,2026-08-14T05:28:14Z,2026-08-14T19:00:00Z,13.5,28.0,27.2,26.5,0.8,0.8
6-24ч,2026-08-14T05:28:14Z,2026-08-15T01:00:00Z,19.5,20.0,22.9,20.4,-2.9,2.9
6-24ч,2026-08-14T10:44:54Z,2026-08-14T19:00:00Z,8.3,28.0,27.2,26.5,0.8,0.8
6-24ч,2026-08-14T10:44:54Z,2026-08-15T01:00:00Z,14.3,20.0,22.9,20.4,-2.9,2.9
6-24ч,2026-08-14T10:44:54Z,2026-08-15T07:00:00Z,20.3,24.0,25.7,25.4,-1.7,1.7
6-24ч,2026-08-14T16:48:33Z,2026-08-15T01:00:00Z,8.2,20.0,22.9,20.4,-2.9,2.9
6-24ч,2026-08-14T16:48:33Z,2026-08-15T07:00:00Z,14.2,24.0,25.7,25.4,-1.7,1.7
6-24ч,2026-08-14T16:48:33Z,2026-08-15T13:00:00Z,20.2,32.0,32.0,32.0,0.0,0.0
6-24ч,2026-08-14T22:30:55Z,2026-08-15T07:00:00Z,8.5,24.0,25.7,25.4,-1.7,1.7
6-24ч,2026-08-14T22:30:55Z,2026-08-15T13:00:00Z,14.5,32.0,32.0,32.0,0.0,0.0
6-24ч,2026-08-14T22:30:55Z,2026-08-15T19:00:00Z,20.5,28.0,26.6,27.2,1.4,1.4
6-24ч,2026-08-15T04:24:15Z,2026-08-15T13:00:00Z,8.6,32.0,32.0,32.0,0.0,0.0
6-24ч,2026-08-15T04:24:15Z,2026-08-15T19:00:00Z,14.6,28.0,26.6,27.2,1.4,1.4
6-24ч,2026-08-15T04:24:15Z,2026-08-16T01:00:00Z,20.6,21.0,22.2,22.9,-1.2,1.2
6-24ч,2026-08-15T10:09:15Z,2026-08-15T19:00:00Z,8.8,28.0,26.6,27.2,1.4,1.4
6-24ч,2026-08-15T10:09:15Z,2026-08-16T01:00:00Z,14.8,21.0,22.2,22.9,-1.2,1.2
6-24ч,2026-08-15T10:09:15Z,2026-08-16T07:00:00Z,20.8,24.0,26.0,25.7,-2.0,2.0
6-24ч,2026-08-15T16:20:39Z,2026-08-16T01:00:00Z,8.7,21.0,22.2,22.9,-1.2,1.2
6-24ч,2026-08-15T16:20:39Z,2026-08-16T07:00:00Z,14.7,24.0,26.0,25.7,-2.0,2.0
6-24ч,2026-08-15T16:20:39Z,2026-08-16T13:00:00Z,20.7,33.0,33.6,32.0,-0.6,0.6
6-24ч,2026-08-15T22:29:33Z,2026-08-16T07:00:00Z,8.5,24.0,26.0,25.7,-2.0,2.0
6-24ч,2026-08-15T22:29:33Z,2026-08-16T13:00:00Z,14.5,33.0,33.6,32.0,-0.6,0.6
6-24ч,2026-08-15T22:29:33Z,2026-08-16T19:00:00Z,20.5,29.0,28.5,26.6,0.5,0.5
6-24ч,2026-08-16T04:29:41Z,2026-08-16T13:00:00Z,8.5,33.0,33.6,32.0,-0.6,0.6
6-24ч,2026-08-16T04:29:41Z,2026-08-16T19:00:00Z,14.5,29.0,28.5,26.6,0.5,0.5
6-24ч,2026-08-16T04:29:41Z,2026-08-17T01:00:00Z,20.5,21.0,23.9,22.2,-2.9,2.9
6-24ч,2026-08-16T07:21:44Z,2026-08-16T19:00:00Z,11.6,29.0,28.5,26.6,0.5,0.5
6-24ч,2026-08-16T07:21:44Z,2026-08-17T01:00:00Z,17.6,20.0,23.9,22.2,-3.9,3.9
6-24ч,2026-08-16T07:21:44Z,2026-08-17T07:00:00Z,23.6,25.0,27.7,26.0,-2.7,2.7
6-24ч,2026-08-16T10:09:47Z,2026-08-16T19:00:00Z,8.8,29.0,28.5,26.6,0.5,0.5
6-24ч,2026-08-16T10:09:47Z,2026-08-17T01:00:00Z,14.8,20.0,23.9,22.2,-3.9,3.9
6-24ч,2026-08-16T10:09:47Z,2026-08-17T07:00:00Z,20.8,25.0,27.7,26.0,-2.7,2.7
6-24ч,2026-08-16T16:21:00Z,2026-08-17T01:00:00Z,8.7,20.0,23.9,22.2,-3.9,3.9
6-24ч,2026-08-16T16:21:00Z,2026-08-17T07:00:00Z,14.7,25.0,27.7,26.0,-2.7,2.7
6-24ч,2026-08-16T16:21:00Z,2026-08-17T13:00:00Z,20.6,35.0,35.6,33.6,-0.6,0.6
6-24ч,2026-08-16T22:29:34Z,2026-08-17T07:00:00Z,8.5,25.0,27.7,26.0,-2.7,2.7
6-24ч,2026-08-16T22:29:34Z,2026-08-17T13:00:00Z,14.5,35.0,35.6,33.6,-0.6,0.6
6-24ч,2026-08-16T22:29:34Z,2026-08-17T19:00:00Z,20.5,31.0,30.3,28.5,0.7,0.7
6-24ч,2026-08-17T04:35:30Z,2026-08-17T13:00:00Z,8.4,35.0,35.6,33.6,-0.6,0.6
6-24ч,2026-08-17T04:35:30Z,2026-08-17T19:00:00Z,14.4,31.0,30.3,28.5,0.7,0.7
6-24ч,2026-08-17T04:35:30Z,2026-08-18T01:00:00Z,20.4,23.0,23.1,23.9,-0.1,0.1
6-24ч,2026-08-17T10:18:11Z,2026-08-17T19:00:00Z,8.7,31.0,30.3,28.5,0.7,0.7
6-24ч,2026-08-17T10:18:11Z,2026-08-18T01:00:00Z,14.7,23.0,23.1,23.9,-0.1,0.1
6-24ч,2026-08-17T10:18:11Z,2026-08-18T07:00:00Z,20.7,21.0,19.6,27.7,1.4,1.4
6-24ч,2026-08-17T16:23:45Z,2026-08-18T01:00:00Z,8.6,23.0,23.1,23.9,-0.1,0.1
6-24ч,2026-08-17T16:23:45Z,2026-08-18T07:00:00Z,14.6,21.0,19.6,27.7,1.4,1.4
6-24ч,2026-08-17T16:23:45Z,2026-08-18T13:00:00Z,20.6,28.0,28.4,35.6,-0.4,0.4
6-24ч,2026-08-17T22:31:28Z,2026-08-18T07:00:00Z,8.5,21.0,19.6,27.7,1.4,1.4
6-24ч,2026-08-17T22:31:28Z,2026-08-18T13:00:00Z,14.5,28.0,28.4,35.6,-0.4,0.4
6-24ч,2026-08-17T22:31:28Z,2026-08-18T19:00:00Z,20.5,25.0,24.6,30.3,0.4,0.4
6-24ч,2026-08-18T04:30:05Z,2026-08-18T13:00:00Z,8.5,28.0,28.4,35.6,-0.4,0.4
6-24ч,2026-08-18T04:30:05Z,2026-08-18T19:00:00Z,14.5,25.0,24.6,30.3,0.4,0.4
6-24ч,2026-08-18T04:30:05Z,2026-08-19T01:00:00Z,20.5,20.0,21.1,23.1,-1.1,1.1
6-24ч,2026-08-18T10:14:55Z,2026-08-18T19:00:00Z,8.8,25.0,24.6,30.3,0.4,0.4
6-24ч,2026-08-18T10:14:55Z,2026-08-19T01:00:00Z,14.8,20.0,21.1,23.1,-1.1,1.1
6-24ч,2026-08-18T10:14:55Z,2026-08-19T07:00:00Z,20.8,23.0,24.2,19.6,-1.2,1.2
6-24ч,2026-08-18T16:27:50Z,2026-08-19T01:00:00Z,8.5,20.0,21.1,23.1,-1.1,1.1
6-24ч,2026-08-18T16:27:50Z,2026-08-19T07:00:00Z,14.5,23.0,24.2,19.6,-1.2,1.2
6-24ч,2026-08-18T16:27:50Z,2026-08-19T13:00:00Z,20.5,30.0,32.6,28.4,-2.6,2.6
6-24ч,2026-08-18T22:31:39Z,2026-08-19T07:00:00Z,8.5,23.0,24.2,19.6,-1.2,1.2
6-24ч,2026-08-18T22:31:39Z,2026-08-19T13:00:00Z,14.5,30.0,32.6,28.4,-2.6,2.6
6-24ч,2026-08-18T22:31:39Z,2026-08-19T19:00:00Z,20.5,28.0,28.4,24.6,-0.4,0.4
6-24ч,2026-08-19T04:31:14Z,2026-08-19T13:00:00Z,8.5,31.0,32.6,28.4,-1.6,1.6
6-24ч,2026-08-19T04:31:14Z,2026-08-19T19:00:00Z,14.5,28.0,28.4,24.6,-0.4,0.4
6-24ч,2026-08-19T04:31:14Z,2026-08-20T01:00:00Z,20.5,23.0,26.7,21.1,-3.7,3.7
6-24ч,2026-08-19T10:14:48Z,2026-08-19T19:00:00Z,8.8,28.0,28.4,24.6,-0.4,0.4
6-24ч,2026-08-19T10:14:48Z,2026-08-20T01:00:00Z,14.8,23.0,26.7,21.1,-3.7,3.7
6-24ч,2026-08-19T10:14:48Z,2026-08-20T07:00:00Z,20.8,27.0,30.6,24.2,-3.6,3.6
6-24ч,2026-08-19T16:28:17Z,2026-08-20T01:00:00Z,8.5,23.0,26.7,21.1,-3.7,3.7
6-24ч,2026-08-19T16:28:17Z,2026-08-20T07:00:00Z,14.5,28.0,30.6,24.2,-2.6,2.6
6-24ч,2026-08-19T16:28:17Z,2026-08-20T13:00:00Z,20.5,36.0,38.2,32.6,-2.2,2.2
6-24ч,2026-08-20T04:31:56Z,2026-08-20T13:00:00Z,8.5,37.0,38.2,32.6,-1.2,1.2
6-24ч,2026-08-20T04:31:56Z,2026-08-20T19:00:00Z,14.5,33.0,32.3,28.4,0.7,0.7
6-24ч,2026-08-20T04:31:56Z,2026-08-21T01:00:00Z,20.5,25.0,27.1,26.7,-2.1,2.1
6-24ч,2026-08-20T10:16:10Z,2026-08-20T19:00:00Z,8.7,32.0,32.3,28.4,-0.3,0.3
6-24ч,2026-08-20T10:16:10Z,2026-08-21T01:00:00Z,14.7,25.0,27.1,26.7,-2.1,2.1
6-24ч,2026-08-20T10:16:10Z,2026-08-21T07:00:00Z,20.7,28.0,31.4,30.6,-3.4,3.4
6-24ч,2026-08-20T16:31:45Z,2026-08-21T01:00:00Z,8.5,25.0,27.1,26.7,-2.1,2.1
6-24ч,2026-08-20T16:31:45Z,2026-08-21T07:00:00Z,14.5,29.0,31.4,30.6,-2.4,2.4
6-24ч,2026-08-20T16:31:45Z,2026-08-21T13:00:00Z,20.5,37.0,38.1,38.2,-1.1,1.1
6-24ч,2026-08-20T22:34:58Z,2026-08-21T07:00:00Z,8.4,29.0,31.4,30.6,-2.4,2.4
6-24ч,2026-08-20T22:34:58Z,2026-08-21T13:00:00Z,14.4,37.0,38.1,38.2,-1.1,1.1
6-24ч,2026-08-20T22:34:58Z,2026-08-21T19:00:00Z,20.4,33.0,32.4,32.3,0.6,0.6
6-24ч,2026-08-21T04:32:20Z,2026-08-21T13:00:00Z,8.5,37.0,38.1,38.2,-1.1,1.1
6-24ч,2026-08-21T04:32:20Z,2026-08-21T19:00:00Z,14.5,33.0,32.4,32.3,0.6,0.6
6-24ч,2026-08-21T04:32:20Z,2026-08-22T01:00:00Z,20.5,26.0,25.6,27.1,0.4,0.4
6-24ч,2026-08-21T10:16:50Z,2026-08-21T19:00:00Z,8.7,33.0,32.4,32.3,0.6,0.6
6-24ч,2026-08-21T10:16:50Z,2026-08-22T01:00:00Z,14.7,26.0,25.6,27.1,0.4,0.4
6-24ч,2026-08-21T10:16:50Z,2026-08-22T07:00:00Z,20.7,28.0,28.1,31.4,-0.1,0.1
6-24ч,2026-08-21T16:30:34Z,2026-08-22T01:00:00Z,8.5,26.0,25.6,27.1,0.4,0.4
6-24ч,2026-08-21T16:30:34Z,2026-08-22T07:00:00Z,14.5,27.0,28.1,31.4,-1.1,1.1
6-24ч,2026-08-21T16:30:34Z,2026-08-22T13:00:00Z,20.5,32.0,32.9,38.1,-0.9,0.9
6-24ч,2026-08-21T22:32:12Z,2026-08-22T07:00:00Z,8.5,27.0,28.1,31.4,-1.1,1.1
6-24ч,2026-08-21T22:32:12Z,2026-08-22T13:00:00Z,14.5,32.0,32.9,38.1,-0.9,0.9
6-24ч,2026-08-21T22:32:12Z,2026-08-22T19:00:00Z,20.5,28.0,28.1,32.4,-0.1,0.1
6-24ч,2026-08-22T04:26:43Z,2026-08-22T13:00:00Z,8.6,31.0,32.9,38.1,-1.9,1.9
6-24ч,2026-08-22T04:26:43Z,2026-08-22T19:00:00Z,14.6,28.0,28.1,32.4,-0.1,0.1
6-24ч,2026-08-22T04:26:43Z,2026-08-23T01:00:00Z,20.6,22.0,23.4,25.6,-1.4,1.4
6-24ч,2026-08-22T10:09:41Z,2026-08-22T19:00:00Z,8.8,28.0,28.1,32.4,-0.1,0.1
6-24ч,2026-08-22T10:09:41Z,2026-08-23T01:00:00Z,14.8,22.0,23.4,25.6,-1.4,1.4
6-24ч,2026-08-22T10:09:41Z,2026-08-23T07:00:00Z,20.8,23.0,23.2,28.1,-0.2,0.2
6-24ч,2026-08-22T16:20:08Z,2026-08-23T01:00:00Z,8.7,22.0,23.4,25.6,-1.4,1.4
6-24ч,2026-08-22T16:20:08Z,2026-08-23T07:00:00Z,14.7,23.0,23.2,28.1,-0.2,0.2
6-24ч,2026-08-22T16:20:08Z,2026-08-23T13:00:00Z,20.7,30.0,30.7,32.9,-0.7,0.7
6-24ч,2026-08-22T22:29:28Z,2026-08-23T07:00:00Z,8.5,23.0,23.2,28.1,-0.2,0.2
6-24ч,2026-08-22T22:29:28Z,2026-08-23T13:00:00Z,14.5,30.0,30.7,32.9,-0.7,0.7
6-24ч,2026-08-22T22:29:28Z,2026-08-23T19:00:00Z,20.5,26.0,26.3,28.1,-0.3,0.3
6-24ч,2026-08-23T04:31:06Z,2026-08-23T13:00:00Z,8.5,30.0,30.7,32.9,-0.7,0.7
6-24ч,2026-08-23T04:31:06Z,2026-08-23T19:00:00Z,14.5,26.0,26.3,28.1,-0.3,0.3
6-24ч,2026-08-23T04:31:06Z,2026-08-24T01:00:00Z,20.5,19.0,21.6,23.4,-2.6,2.6
6-24ч,2026-08-23T10:10:14Z,2026-08-23T19:00:00Z,8.8,26.0,26.3,28.1,-0.3,0.3
6-24ч,2026-08-23T10:10:14Z,2026-08-24T01:00:00Z,14.8,19.0,21.6,23.4,-2.6,2.6
6-24ч,2026-08-23T10:10:14Z,2026-08-24T07:00:00Z,20.8,22.0,23.8,23.2,-1.8,1.8
6-24ч,2026-08-23T16:21:17Z,2026-08-24T01:00:00Z,8.6,19.0,21.6,23.4,-2.6,2.6
6-24ч,2026-08-23T16:21:17Z,2026-08-24T07:00:00Z,14.6,22.0,23.8,23.2,-1.8,1.8
6-24ч,2026-08-23T16:21:17Z,2026-08-24T13:00:00Z,20.6,31.0,32.7,30.7,-1.7,1.7
6-24ч,2026-08-23T22:29:36Z,2026-08-24T07:00:00Z,8.5,22.0,23.8,23.2,-1.8,1.8
6-24ч,2026-08-23T22:29:36Z,2026-08-24T13:00:00Z,14.5,32.0,32.7,30.7,-0.7,0.7
6-24ч,2026-08-23T22:29:36Z,2026-08-24T19:00:00Z,20.5,28.0,27.7,26.3,0.3,0.3
6-24ч,2026-08-24T04:38:48Z,2026-08-24T13:00:00Z,8.4,32.0,32.7,30.7,-0.7,0.7
6-24ч,2026-08-24T04:38:48Z,2026-08-24T19:00:00Z,14.4,28.0,27.7,26.3,0.3,0.3
6-24ч,2026-08-24T04:38:48Z,2026-08-25T01:00:00Z,20.4,20.0,23.3,21.6,-3.3,3.3
6-24ч,2026-08-24T10:24:38Z,2026-08-24T19:00:00Z,8.6,28.0,27.7,26.3,0.3,0.3
6-24ч,2026-08-24T10:24:38Z,2026-08-25T01:00:00Z,14.6,20.0,23.3,21.6,-3.3,3.3
6-24ч,2026-08-24T16:34:00Z,2026-08-25T01:00:00Z,8.4,19.0,23.3,21.6,-4.3,4.3
1-2 дня,2026-08-13T16:36:10Z,2026-08-14T19:00:00Z,26.4,28.0,27.2,26.5,0.8,0.8
1-2 дня,2026-08-13T16:36:10Z,2026-08-15T01:00:00Z,32.4,21.0,22.9,20.4,-1.9,1.9
1-2 дня,2026-08-13T16:36:10Z,2026-08-15T07:00:00Z,38.4,25.0,25.7,25.4,-0.7,0.7
1-2 дня,2026-08-13T16:36:10Z,2026-08-15T13:00:00Z,44.4,32.0,32.0,32.0,0.0,0.0
1-2 дня,2026-08-13T16:42:24Z,2026-08-14T19:00:00Z,26.3,28.0,27.2,26.5,0.8,0.8
1-2 дня,2026-08-13T16:42:24Z,2026-08-15T01:00:00Z,32.3,21.0,22.9,20.4,-1.9,1.9
1-2 дня,2026-08-13T16:42:24Z,2026-08-15T07:00:00Z,38.3,25.0,25.7,25.4,-0.7,0.7
1-2 дня,2026-08-13T16:42:24Z,2026-08-15T13:00:00Z,44.3,32.0,32.0,32.0,0.0,0.0
1-2 дня,2026-08-13T16:54:22Z,2026-08-14T19:00:00Z,26.1,28.0,27.2,26.5,0.8,0.8
1-2 дня,2026-08-13T16:54:22Z,2026-08-15T01:00:00Z,32.1,21.0,22.9,20.4,-1.9,1.9
1-2 дня,2026-08-13T16:54:22Z,2026-08-15T07:00:00Z,38.1,25.0,25.7,25.4,-0.7,0.7
1-2 дня,2026-08-13T16:54:22Z,2026-08-15T13:00:00Z,44.1,32.0,32.0,32.0,0.0,0.0
1-2 дня,2026-08-13T22:52:17Z,2026-08-15T01:00:00Z,26.1,21.0,22.9,20.4,-1.9,1.9
1-2 дня,2026-08-13T22:52:17Z,2026-08-15T07:00:00Z,32.1,25.0,25.7,25.4,-0.7,0.7
1-2 дня,2026-08-13T22:52:17Z,2026-08-15T13:00:00Z,38.1,32.0,32.0,32.0,0.0,0.0
1-2 дня,2026-08-13T22:52:17Z,2026-08-15T19:00:00Z,44.1,28.0,26.6,27.2,1.4,1.4
1-2 дня,2026-08-14T05:28:14Z,2026-08-15T07:00:00Z,25.5,25.0,25.7,25.4,-0.7,0.7
1-2 дня,2026-08-14T05:28:14Z,2026-08-15T13:00:00Z,31.5,32.0,32.0,32.0,0.0,0.0
1-2 дня,2026-08-14T05:28:14Z,2026-08-15T19:00:00Z,37.5,28.0,26.6,27.2,1.4,1.4
1-2 дня,2026-08-14T05:28:14Z,2026-08-16T01:00:00Z,43.5,22.0,22.2,22.9,-0.2,0.2
1-2 дня,2026-08-14T10:44:54Z,2026-08-15T13:00:00Z,26.3,32.0,32.0,32.0,0.0,0.0
1-2 дня,2026-08-14T10:44:54Z,2026-08-15T19:00:00Z,32.3,28.0,26.6,27.2,1.4,1.4
1-2 дня,2026-08-14T10:44:54Z,2026-08-16T01:00:00Z,38.3,22.0,22.2,22.9,-0.2,0.2
1-2 дня,2026-08-14T10:44:54Z,2026-08-16T07:00:00Z,44.3,25.0,26.0,25.7,-1.0,1.0
1-2 дня,2026-08-14T16:48:33Z,2026-08-15T19:00:00Z,26.2,28.0,26.6,27.2,1.4,1.4
1-2 дня,2026-08-14T16:48:33Z,2026-08-16T01:00:00Z,32.2,22.0,22.2,22.9,-0.2,0.2
1-2 дня,2026-08-14T16:48:33Z,2026-08-16T07:00:00Z,38.2,25.0,26.0,25.7,-1.0,1.0
1-2 дня,2026-08-14T16:48:33Z,2026-08-16T13:00:00Z,44.2,33.0,33.6,32.0,-0.6,0.6
1-2 дня,2026-08-14T22:30:55Z,2026-08-16T01:00:00Z,26.5,21.0,22.2,22.9,-1.2,1.2
1-2 дня,2026-08-14T22:30:55Z,2026-08-16T07:00:00Z,32.5,25.0,26.0,25.7,-1.0,1.0
1-2 дня,2026-08-14T22:30:55Z,2026-08-16T13:00:00Z,38.5,33.0,33.6,32.0,-0.6,0.6
1-2 дня,2026-08-14T22:30:55Z,2026-08-16T19:00:00Z,44.5,28.0,28.5,26.6,-0.5,0.5
1-2 дня,2026-08-15T04:24:15Z,2026-08-16T07:00:00Z,26.6,25.0,26.0,25.7,-1.0,1.0
1-2 дня,2026-08-15T04:24:15Z,2026-08-16T13:00:00Z,32.6,33.0,33.6,32.0,-0.6,0.6
1-2 дня,2026-08-15T04:24:15Z,2026-08-16T19:00:00Z,38.6,29.0,28.5,26.6,0.5,0.5
1-2 дня,2026-08-15T04:24:15Z,2026-08-17T01:00:00Z,44.6,21.0,23.9,22.2,-2.9,2.9
1-2 дня,2026-08-15T10:09:15Z,2026-08-16T13:00:00Z,26.8,33.0,33.6,32.0,-0.6,0.6
1-2 дня,2026-08-15T10:09:15Z,2026-08-16T19:00:00Z,32.8,29.0,28.5,26.6,0.5,0.5
1-2 дня,2026-08-15T10:09:15Z,2026-08-17T01:00:00Z,38.8,21.0,23.9,22.2,-2.9,2.9
1-2 дня,2026-08-15T10:09:15Z,2026-08-17T07:00:00Z,44.8,26.0,27.7,26.0,-1.7,1.7
1-2 дня,2026-08-15T16:20:39Z,2026-08-16T19:00:00Z,26.7,29.0,28.5,26.6,0.5,0.5
1-2 дня,2026-08-15T16:20:39Z,2026-08-17T01:00:00Z,32.7,21.0,23.9,22.2,-2.9,2.9
