# Нови-Сад / Облачность / 6-24ч / Tomorrow.io
# n=540, MAE=10.974, RMSE=21.057, bias=+1.404
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (21.057/28.034)^2 = 0.4358  (RMSE_персистентности по 540 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:44:08Z,2026-08-06T18:00:00Z,6.3,6.25,75.0,50.0,-68.75,68.75
2026-08-06T11:44:08Z,2026-08-07T06:00:00Z,18.3,0.0,12.5,0.0,-12.5,12.5
2026-08-06T11:44:08Z,2026-08-07T07:00:00Z,19.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-07T08:00:00Z,20.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-07T09:00:00Z,21.3,0.78,0.0,0.0,0.78,0.78
2026-08-06T11:44:08Z,2026-08-07T10:00:00Z,22.3,0.78,0.0,0.0,0.78,0.78
2026-08-06T11:44:08Z,2026-08-07T11:00:00Z,23.3,4.69,0.0,12.5,4.69,4.69
2026-08-07T01:31:32Z,2026-08-07T08:00:00Z,6.5,3.91,0.0,0.0,3.91,3.91
2026-08-07T01:31:32Z,2026-08-07T09:00:00Z,7.5,0.78,0.0,0.0,0.78,0.78
2026-08-07T01:31:32Z,2026-08-07T10:00:00Z,8.5,0.78,0.0,0.0,0.78,0.78
2026-08-07T01:31:32Z,2026-08-07T11:00:00Z,9.5,2.34,0.0,12.5,2.34,2.34
2026-08-07T01:31:32Z,2026-08-07T12:00:00Z,10.5,40.62,0.0,25.0,40.62,40.62
2026-08-07T01:31:32Z,2026-08-07T13:00:00Z,11.5,40.62,12.5,50.0,28.12,28.12
2026-08-07T01:31:32Z,2026-08-07T14:00:00Z,12.5,50.78,25.0,62.5,25.78,25.78
2026-08-07T01:31:32Z,2026-08-07T15:00:00Z,13.5,53.12,25.0,87.5,28.12,28.12
2026-08-07T01:31:32Z,2026-08-07T16:00:00Z,14.5,25.78,37.5,87.5,-11.72,11.72
2026-08-07T01:31:32Z,2026-08-07T17:00:00Z,15.5,3.91,12.5,87.5,-8.59,8.59
2026-08-07T01:31:32Z,2026-08-07T18:00:00Z,16.5,26.56,75.0,75.0,-48.44,48.44
2026-08-07T05:36:00Z,2026-08-07T12:00:00Z,6.4,40.62,0.0,25.0,40.62,40.62
2026-08-07T05:36:00Z,2026-08-07T13:00:00Z,7.4,40.62,12.5,50.0,28.12,28.12
2026-08-07T05:36:00Z,2026-08-07T14:00:00Z,8.4,50.78,25.0,62.5,25.78,25.78
2026-08-07T05:36:00Z,2026-08-07T15:00:00Z,9.4,53.12,25.0,87.5,28.12,28.12
2026-08-07T05:36:00Z,2026-08-07T16:00:00Z,10.4,25.78,37.5,87.5,-11.72,11.72
2026-08-07T05:36:00Z,2026-08-07T17:00:00Z,11.4,3.91,12.5,87.5,-8.59,8.59
2026-08-07T05:36:00Z,2026-08-07T18:00:00Z,12.4,26.56,75.0,75.0,-48.44,48.44
2026-08-07T06:18:59Z,2026-08-07T13:00:00Z,6.7,25.0,12.5,50.0,12.5,12.5
2026-08-07T06:18:59Z,2026-08-07T14:00:00Z,7.7,81.25,25.0,62.5,56.25,56.25
2026-08-07T06:18:59Z,2026-08-07T15:00:00Z,8.7,38.28,25.0,87.5,13.28,13.28
2026-08-07T06:18:59Z,2026-08-07T16:00:00Z,9.7,18.75,37.5,87.5,-18.75,18.75
2026-08-07T06:18:59Z,2026-08-07T17:00:00Z,10.7,18.75,12.5,87.5,6.25,6.25
2026-08-07T06:18:59Z,2026-08-07T18:00:00Z,11.7,43.75,75.0,75.0,-31.25,31.25
2026-08-07T06:18:59Z,2026-08-08T06:00:00Z,23.7,1.56,0.0,12.5,1.56,1.56
2026-08-07T07:13:52Z,2026-08-07T14:00:00Z,6.8,81.25,25.0,62.5,56.25,56.25
2026-08-07T07:13:52Z,2026-08-07T15:00:00Z,7.8,38.28,25.0,87.5,13.28,13.28
2026-08-07T07:13:52Z,2026-08-07T16:00:00Z,8.8,18.75,37.5,87.5,-18.75,18.75
2026-08-07T07:13:52Z,2026-08-07T17:00:00Z,9.8,18.75,12.5,87.5,6.25,6.25
2026-08-07T07:13:52Z,2026-08-07T18:00:00Z,10.8,43.75,75.0,75.0,-31.25,31.25
2026-08-07T07:13:52Z,2026-08-08T06:00:00Z,22.8,1.56,0.0,12.5,1.56,1.56
2026-08-07T07:13:52Z,2026-08-08T07:00:00Z,23.8,0.0,0.0,0.0,0.0,0.0
2026-08-07T10:39:14Z,2026-08-07T17:00:00Z,6.3,18.75,12.5,87.5,6.25,6.25
2026-08-07T10:39:14Z,2026-08-07T18:00:00Z,7.3,43.75,75.0,75.0,-31.25,31.25
2026-08-07T10:39:14Z,2026-08-08T06:00:00Z,19.3,1.56,0.0,12.5,1.56,1.56
2026-08-07T10:39:14Z,2026-08-08T07:00:00Z,20.3,0.0,0.0,0.0,0.0,0.0
2026-08-07T10:39:14Z,2026-08-08T08:00:00Z,21.3,0.0,0.0,0.0,0.0,0.0
2026-08-07T10:39:14Z,2026-08-08T09:00:00Z,22.3,5.47,0.0,0.0,5.47,5.47
2026-08-07T10:39:14Z,2026-08-08T10:00:00Z,23.3,26.56,0.0,0.0,26.56,26.56
2026-08-07T16:51:54Z,2026-08-08T06:00:00Z,13.1,1.56,0.0,12.5,1.56,1.56
2026-08-07T16:51:54Z,2026-08-08T07:00:00Z,14.1,8.59,0.0,0.0,8.59,8.59
2026-08-07T16:51:54Z,2026-08-08T08:00:00Z,15.1,20.31,0.0,0.0,20.31,20.31
2026-08-07T16:51:54Z,2026-08-08T09:00:00Z,16.1,10.94,0.0,0.0,10.94,10.94
2026-08-07T16:51:54Z,2026-08-08T10:00:00Z,17.1,20.31,0.0,0.0,20.31,20.31
2026-08-07T16:51:54Z,2026-08-08T11:00:00Z,18.1,35.16,12.5,0.0,22.66,22.66
2026-08-07T16:51:54Z,2026-08-08T12:00:00Z,19.1,22.66,12.5,0.0,10.16,10.16
2026-08-07T16:51:54Z,2026-08-08T13:00:00Z,20.1,8.59,12.5,12.5,-3.91,3.91
2026-08-07T16:51:54Z,2026-08-08T14:00:00Z,21.1,3.91,12.5,25.0,-8.59,8.59
2026-08-07T16:51:54Z,2026-08-08T15:00:00Z,22.1,4.69,12.5,25.0,-7.81,7.81
2026-08-07T16:51:54Z,2026-08-08T16:00:00Z,23.1,12.5,0.0,37.5,12.5,12.5
2026-08-07T22:45:57Z,2026-08-08T06:00:00Z,7.2,2.34,0.0,12.5,2.34,2.34
2026-08-07T22:45:57Z,2026-08-08T07:00:00Z,8.2,3.12,0.0,0.0,3.12,3.12
2026-08-07T22:45:57Z,2026-08-08T08:00:00Z,9.2,1.56,0.0,0.0,1.56,1.56
2026-08-07T22:45:57Z,2026-08-08T09:00:00Z,10.2,2.34,0.0,0.0,2.34,2.34
2026-08-07T22:45:57Z,2026-08-08T10:00:00Z,11.2,4.69,0.0,0.0,4.69,4.69
2026-08-07T22:45:57Z,2026-08-08T11:00:00Z,12.2,1.56,12.5,0.0,-10.94,10.94
2026-08-07T22:45:57Z,2026-08-08T12:00:00Z,13.2,4.69,12.5,0.0,-7.81,7.81
2026-08-07T22:45:57Z,2026-08-08T13:00:00Z,14.2,2.34,12.5,12.5,-10.16,10.16
2026-08-07T22:45:57Z,2026-08-08T14:00:00Z,15.2,5.47,12.5,25.0,-7.03,7.03
2026-08-07T22:45:57Z,2026-08-08T15:00:00Z,16.2,17.19,12.5,25.0,4.69,4.69
2026-08-07T22:45:57Z,2026-08-08T16:00:00Z,17.2,20.31,0.0,37.5,20.31,20.31
2026-08-07T22:45:57Z,2026-08-08T17:00:00Z,18.2,32.81,0.0,12.5,32.81,32.81
2026-08-07T22:45:57Z,2026-08-08T18:00:00Z,19.2,26.56,0.0,75.0,26.56,26.56
2026-08-07T23:19:23Z,2026-08-08T06:00:00Z,6.7,2.34,0.0,12.5,2.34,2.34
2026-08-07T23:19:23Z,2026-08-08T07:00:00Z,7.7,3.12,0.0,0.0,3.12,3.12
2026-08-07T23:19:23Z,2026-08-08T08:00:00Z,8.7,1.56,0.0,0.0,1.56,1.56
2026-08-07T23:19:23Z,2026-08-08T09:00:00Z,9.7,2.34,0.0,0.0,2.34,2.34
2026-08-07T23:19:23Z,2026-08-08T10:00:00Z,10.7,4.69,0.0,0.0,4.69,4.69
2026-08-07T23:19:23Z,2026-08-08T11:00:00Z,11.7,1.56,12.5,0.0,-10.94,10.94
2026-08-07T23:19:23Z,2026-08-08T12:00:00Z,12.7,4.69,12.5,0.0,-7.81,7.81
2026-08-07T23:19:23Z,2026-08-08T13:00:00Z,13.7,2.34,12.5,12.5,-10.16,10.16
2026-08-07T23:19:23Z,2026-08-08T14:00:00Z,14.7,5.47,12.5,25.0,-7.03,7.03
2026-08-07T23:19:23Z,2026-08-08T15:00:00Z,15.7,17.19,12.5,25.0,4.69,4.69
2026-08-07T23:19:23Z,2026-08-08T16:00:00Z,16.7,20.31,0.0,37.5,20.31,20.31
2026-08-07T23:19:23Z,2026-08-08T17:00:00Z,17.7,32.81,0.0,12.5,32.81,32.81
2026-08-07T23:19:23Z,2026-08-08T18:00:00Z,18.7,26.56,0.0,75.0,26.56,26.56
2026-08-08T04:50:53Z,2026-08-08T11:00:00Z,6.2,0.0,12.5,0.0,-12.5,12.5
2026-08-08T04:50:53Z,2026-08-08T12:00:00Z,7.2,0.78,12.5,0.0,-11.72,11.72
2026-08-08T04:50:53Z,2026-08-08T13:00:00Z,8.2,5.47,12.5,12.5,-7.03,7.03
2026-08-08T04:50:53Z,2026-08-08T14:00:00Z,9.2,6.25,12.5,25.0,-6.25,6.25
2026-08-08T04:50:53Z,2026-08-08T15:00:00Z,10.2,5.47,12.5,25.0,-7.03,7.03
2026-08-08T04:50:53Z,2026-08-08T16:00:00Z,11.2,3.91,0.0,37.5,3.91,3.91
2026-08-08T04:50:53Z,2026-08-08T17:00:00Z,12.2,7.81,0.0,12.5,7.81,7.81
2026-08-08T04:50:53Z,2026-08-08T18:00:00Z,13.2,17.19,0.0,75.0,17.19,17.19
2026-08-08T10:18:13Z,2026-08-08T17:00:00Z,6.7,17.19,0.0,12.5,17.19,17.19
2026-08-08T10:18:13Z,2026-08-08T18:00:00Z,7.7,9.38,0.0,75.0,9.38,9.38
2026-08-08T10:18:13Z,2026-08-09T06:00:00Z,19.7,0.0,0.0,0.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-09T07:00:00Z,20.7,0.0,0.0,0.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-09T08:00:00Z,21.7,0.0,0.0,0.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-09T09:00:00Z,22.7,0.0,0.0,0.0,0.0,0.0
2026-08-08T10:18:13Z,2026-08-09T10:00:00Z,23.7,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T06:00:00Z,7.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T07:00:00Z,8.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T08:00:00Z,9.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T09:00:00Z,10.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T10:00:00Z,11.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T11:00:00Z,12.4,0.0,0.0,12.5,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T12:00:00Z,13.4,0.0,12.5,12.5,-12.5,12.5
2026-08-08T22:37:20Z,2026-08-09T13:00:00Z,14.4,0.0,12.5,12.5,-12.5,12.5
2026-08-08T22:37:20Z,2026-08-09T14:00:00Z,15.4,0.0,0.0,12.5,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T15:00:00Z,16.4,0.0,0.0,12.5,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T16:00:00Z,17.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T17:00:00Z,18.4,0.0,0.0,0.0,0.0,0.0
2026-08-08T22:37:20Z,2026-08-09T18:00:00Z,19.4,0.0,0.0,0.0,0.0,0.0
2026-08-09T04:59:03Z,2026-08-09T11:00:00Z,6.0,0.0,0.0,12.5,0.0,0.0
2026-08-09T04:59:03Z,2026-08-09T12:00:00Z,7.0,0.0,12.5,12.5,-12.5,12.5
2026-08-09T04:59:03Z,2026-08-09T13:00:00Z,8.0,0.0,12.5,12.5,-12.5,12.5
2026-08-09T04:59:03Z,2026-08-09T14:00:00Z,9.0,0.0,0.0,12.5,0.0,0.0
2026-08-09T04:59:03Z,2026-08-09T15:00:00Z,10.0,0.0,0.0,12.5,0.0,0.0
2026-08-09T04:59:03Z,2026-08-09T16:00:00Z,11.0,0.0,0.0,0.0,0.0,0.0
2026-08-09T04:59:03Z,2026-08-09T17:00:00Z,12.0,0.0,0.0,0.0,0.0,0.0
2026-08-09T04:59:03Z,2026-08-09T18:00:00Z,13.0,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-09T17:00:00Z,6.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-09T18:00:00Z,7.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T06:00:00Z,19.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T07:00:00Z,20.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T08:00:00Z,21.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T09:00:00Z,22.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T10:19:29Z,2026-08-10T10:00:00Z,23.7,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T06:00:00Z,17.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T07:00:00Z,18.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T08:00:00Z,19.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T09:00:00Z,20.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T10:00:00Z,21.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:41:38Z,2026-08-10T11:00:00Z,22.3,0.0,12.5,0.0,-12.5,12.5
2026-08-09T12:41:38Z,2026-08-10T12:00:00Z,23.3,0.0,0.0,12.5,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T06:00:00Z,17.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T07:00:00Z,18.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T08:00:00Z,19.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T09:00:00Z,20.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T10:00:00Z,21.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:45:53Z,2026-08-10T11:00:00Z,22.2,0.0,12.5,0.0,-12.5,12.5
2026-08-09T12:45:53Z,2026-08-10T12:00:00Z,23.2,0.0,0.0,12.5,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T06:00:00Z,17.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T07:00:00Z,18.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T08:00:00Z,19.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T09:00:00Z,20.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T10:00:00Z,21.2,0.0,0.0,0.0,0.0,0.0
2026-08-09T12:48:15Z,2026-08-10T11:00:00Z,22.2,0.0,12.5,0.0,-12.5,12.5
2026-08-09T12:48:15Z,2026-08-10T12:00:00Z,23.2,0.0,0.0,12.5,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T06:00:00Z,13.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T07:00:00Z,14.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T08:00:00Z,15.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T09:00:00Z,16.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T10:00:00Z,17.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T11:00:00Z,18.5,0.0,12.5,0.0,-12.5,12.5
2026-08-09T16:31:44Z,2026-08-10T12:00:00Z,19.5,0.0,0.0,12.5,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T13:00:00Z,20.5,0.0,0.0,12.5,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T14:00:00Z,21.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T15:00:00Z,22.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T16:31:44Z,2026-08-10T16:00:00Z,23.5,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T06:00:00Z,7.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T07:00:00Z,8.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T08:00:00Z,9.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T09:00:00Z,10.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T10:00:00Z,11.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T11:00:00Z,12.3,0.0,12.5,0.0,-12.5,12.5
2026-08-09T22:39:09Z,2026-08-10T12:00:00Z,13.3,0.0,0.0,12.5,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T13:00:00Z,14.3,0.0,0.0,12.5,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T14:00:00Z,15.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T15:00:00Z,16.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T16:00:00Z,17.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T17:00:00Z,18.3,0.0,0.0,0.0,0.0,0.0
2026-08-09T22:39:09Z,2026-08-10T18:00:00Z,19.3,0.0,0.0,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-10T12:00:00Z,6.7,0.0,0.0,12.5,0.0,0.0
2026-08-10T05:20:42Z,2026-08-10T13:00:00Z,7.7,0.0,0.0,12.5,0.0,0.0
2026-08-10T05:20:42Z,2026-08-10T14:00:00Z,8.7,0.0,0.0,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-10T15:00:00Z,9.7,0.0,0.0,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-10T16:00:00Z,10.7,0.0,0.0,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-10T17:00:00Z,11.7,0.0,0.0,0.0,0.0,0.0
2026-08-10T05:20:42Z,2026-08-10T18:00:00Z,12.7,0.0,0.0,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-10T17:00:00Z,6.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-10T18:00:00Z,7.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-11T06:00:00Z,19.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-11T07:00:00Z,20.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-11T08:00:00Z,21.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-11T09:00:00Z,22.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T10:53:28Z,2026-08-11T10:00:00Z,23.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T06:00:00Z,13.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T07:00:00Z,14.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T08:00:00Z,15.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T09:00:00Z,16.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T10:00:00Z,17.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T11:00:00Z,18.1,0.0,0.0,12.5,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T12:00:00Z,19.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T13:00:00Z,20.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T14:00:00Z,21.1,0.0,0.0,0.0,0.0,0.0
2026-08-10T16:52:05Z,2026-08-11T15:00:00Z,22.1,0.78,0.0,0.0,0.78,0.78
2026-08-10T16:52:05Z,2026-08-11T16:00:00Z,23.1,7.03,0.0,0.0,7.03,7.03
2026-08-10T22:47:13Z,2026-08-11T06:00:00Z,7.2,0.0,0.0,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T07:00:00Z,8.2,0.0,0.0,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T08:00:00Z,9.2,0.0,0.0,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T09:00:00Z,10.2,0.0,0.0,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T10:00:00Z,11.2,0.0,0.0,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T11:00:00Z,12.2,0.0,0.0,12.5,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T12:00:00Z,13.2,0.0,0.0,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T13:00:00Z,14.2,0.0,0.0,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T14:00:00Z,15.2,0.0,0.0,0.0,0.0,0.0
2026-08-10T22:47:13Z,2026-08-11T15:00:00Z,16.2,1.56,0.0,0.0,1.56,1.56
2026-08-10T22:47:13Z,2026-08-11T16:00:00Z,17.2,11.72,0.0,0.0,11.72,11.72
2026-08-10T22:47:13Z,2026-08-11T17:00:00Z,18.2,21.09,0.0,0.0,21.09,21.09
2026-08-10T22:47:13Z,2026-08-11T18:00:00Z,19.2,25.78,0.0,0.0,25.78,25.78
2026-08-11T05:01:49Z,2026-08-11T12:00:00Z,7.0,0.0,0.0,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-11T13:00:00Z,8.0,0.0,0.0,0.0,0.0,0.0
2026-08-11T05:01:49Z,2026-08-11T14:00:00Z,9.0,0.78,0.0,0.0,0.78,0.78
2026-08-11T05:01:49Z,2026-08-11T15:00:00Z,10.0,11.72,0.0,0.0,11.72,11.72
2026-08-11T05:01:49Z,2026-08-11T16:00:00Z,11.0,12.5,0.0,0.0,12.5,12.5
2026-08-11T05:01:49Z,2026-08-11T17:00:00Z,12.0,18.75,0.0,0.0,18.75,18.75
2026-08-11T05:01:49Z,2026-08-11T18:00:00Z,13.0,28.12,0.0,0.0,28.12,28.12
2026-08-11T10:38:45Z,2026-08-11T17:00:00Z,6.4,10.16,0.0,0.0,10.16,10.16
2026-08-11T10:38:45Z,2026-08-11T18:00:00Z,7.4,54.69,0.0,0.0,54.69,54.69
2026-08-11T10:38:45Z,2026-08-12T06:00:00Z,19.4,4.69,75.0,0.0,-70.31,70.31
2026-08-11T10:38:45Z,2026-08-12T07:00:00Z,20.4,0.78,75.0,0.0,-74.22,74.22
2026-08-11T10:38:45Z,2026-08-12T08:00:00Z,21.4,0.0,50.0,0.0,-50.0,50.0
2026-08-11T10:38:45Z,2026-08-12T09:00:00Z,22.4,0.0,25.0,0.0,-25.0,25.0
2026-08-11T10:38:45Z,2026-08-12T10:00:00Z,23.4,0.0,25.0,0.0,-25.0,25.0
2026-08-12T06:05:22Z,2026-08-12T13:00:00Z,6.9,0.0,0.0,0.0,0.0,0.0
