# Нови-Сад / Облачность / 3-5 дней / GEM (Канада)
# n=366, MAE=2.806, RMSE=8.596, bias=+1.030
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (8.596/5.348)^2 = -1.5835  (RMSE_персистентности по 366 пар(ам))
# persistence baseline = как вчера в это же время - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T11:36:01Z,2026-08-10T06:00:00Z,90.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T07:00:00Z,91.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T08:00:00Z,92.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T09:00:00Z,93.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T10:00:00Z,94.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T11:00:00Z,95.4,0.0,12.5,0.0,-12.5,12.5
2026-08-06T11:36:01Z,2026-08-10T12:00:00Z,96.4,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T13:00:00Z,97.4,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T14:00:00Z,98.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T15:00:00Z,99.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T16:00:00Z,100.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T17:00:00Z,101.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-10T18:00:00Z,102.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-11T06:00:00Z,114.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-11T07:00:00Z,115.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-11T08:00:00Z,116.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-11T09:00:00Z,117.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-11T10:00:00Z,118.4,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:36:01Z,2026-08-11T11:00:00Z,119.4,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T12:00:00Z,72.3,0.0,12.5,12.5,-12.5,12.5
2026-08-06T11:44:08Z,2026-08-09T13:00:00Z,73.3,0.0,12.5,12.5,-12.5,12.5
2026-08-06T11:44:08Z,2026-08-09T14:00:00Z,74.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T15:00:00Z,75.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T16:00:00Z,76.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T17:00:00Z,77.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-09T18:00:00Z,78.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T06:00:00Z,90.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T07:00:00Z,91.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T08:00:00Z,92.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T09:00:00Z,93.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T10:00:00Z,94.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T11:00:00Z,95.3,0.0,12.5,0.0,-12.5,12.5
2026-08-06T11:44:08Z,2026-08-10T12:00:00Z,96.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T13:00:00Z,97.3,0.0,0.0,12.5,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T14:00:00Z,98.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T15:00:00Z,99.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T16:00:00Z,100.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T17:00:00Z,101.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-10T18:00:00Z,102.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-11T06:00:00Z,114.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-11T07:00:00Z,115.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-11T08:00:00Z,116.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-11T09:00:00Z,117.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-11T10:00:00Z,118.3,0.0,0.0,0.0,0.0,0.0
2026-08-06T11:44:08Z,2026-08-11T11:00:00Z,119.3,0.0,0.0,12.5,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T06:00:00Z,76.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T07:00:00Z,77.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T08:00:00Z,78.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T09:00:00Z,79.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T10:00:00Z,80.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T11:00:00Z,81.5,0.0,12.5,0.0,-12.5,12.5
2026-08-07T01:31:32Z,2026-08-10T12:00:00Z,82.5,0.0,0.0,12.5,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T13:00:00Z,83.5,0.0,0.0,12.5,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T14:00:00Z,84.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T15:00:00Z,85.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T16:00:00Z,86.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T17:00:00Z,87.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-10T18:00:00Z,88.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T06:00:00Z,100.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T07:00:00Z,101.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T08:00:00Z,102.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T09:00:00Z,103.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T10:00:00Z,104.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T11:00:00Z,105.5,0.0,0.0,12.5,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T12:00:00Z,106.5,0.0,0.0,0.0,0.0,0.0
2026-08-07T01:31:32Z,2026-08-11T13:00:00Z,107.5,5.0,0.0,0.0,5.0,5.0
2026-08-07T01:31:32Z,2026-08-11T14:00:00Z,108.5,13.0,0.0,0.0,13.0,13.0
2026-08-07T01:31:32Z,2026-08-11T15:00:00Z,109.5,20.0,0.0,0.0,20.0,20.0
2026-08-07T01:31:32Z,2026-08-11T16:00:00Z,110.5,26.0,0.0,0.0,26.0,26.0
2026-08-07T01:31:32Z,2026-08-11T17:00:00Z,111.5,32.0,0.0,0.0,32.0,32.0
2026-08-07T01:31:32Z,2026-08-11T18:00:00Z,112.5,32.0,0.0,0.0,32.0,32.0
2026-08-07T05:36:00Z,2026-08-10T06:00:00Z,72.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T07:00:00Z,73.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T08:00:00Z,74.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T09:00:00Z,75.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T10:00:00Z,76.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T11:00:00Z,77.4,0.0,12.5,0.0,-12.5,12.5
2026-08-07T05:36:00Z,2026-08-10T12:00:00Z,78.4,0.0,0.0,12.5,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T13:00:00Z,79.4,0.0,0.0,12.5,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T14:00:00Z,80.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T15:00:00Z,81.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T16:00:00Z,82.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T17:00:00Z,83.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-10T18:00:00Z,84.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T06:00:00Z,96.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T07:00:00Z,97.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T08:00:00Z,98.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T09:00:00Z,99.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T10:00:00Z,100.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T11:00:00Z,101.4,0.0,0.0,12.5,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T12:00:00Z,102.4,0.0,0.0,0.0,0.0,0.0
2026-08-07T05:36:00Z,2026-08-11T13:00:00Z,103.4,5.0,0.0,0.0,5.0,5.0
2026-08-07T05:36:00Z,2026-08-11T14:00:00Z,104.4,13.0,0.0,0.0,13.0,13.0
2026-08-07T05:36:00Z,2026-08-11T15:00:00Z,105.4,20.0,0.0,0.0,20.0,20.0
2026-08-07T05:36:00Z,2026-08-11T16:00:00Z,106.4,26.0,0.0,0.0,26.0,26.0
2026-08-07T05:36:00Z,2026-08-11T17:00:00Z,107.4,32.0,0.0,0.0,32.0,32.0
2026-08-07T05:36:00Z,2026-08-11T18:00:00Z,108.4,32.0,0.0,0.0,32.0,32.0
2026-08-07T06:18:59Z,2026-08-10T07:00:00Z,72.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T08:00:00Z,73.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T09:00:00Z,74.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T10:00:00Z,75.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T11:00:00Z,76.7,0.0,12.5,0.0,-12.5,12.5
2026-08-07T06:18:59Z,2026-08-10T12:00:00Z,77.7,0.0,0.0,12.5,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T13:00:00Z,78.7,0.0,0.0,12.5,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T14:00:00Z,79.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T15:00:00Z,80.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T16:00:00Z,81.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T17:00:00Z,82.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-10T18:00:00Z,83.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-11T06:00:00Z,95.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-11T07:00:00Z,96.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-11T08:00:00Z,97.7,0.0,0.0,0.0,0.0,0.0
2026-08-07T06:18:59Z,2026-08-11T09:00:00Z,98.7,0.0,0.0,0.0,0.0,0.0
